date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:17	406784/406784	---MCZ	200	added ('OK')	text/html	etag:W/%22746aa5e7d12742b8da9fb8c61810aae5%22	https://lemonag.wixsite.com/portfolio	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio.html	(from )
09:27:17	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://lemonag.wixsite.com/robots.txt		(from )
09:27:17	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://lemonag.wixsite.com/portfolio)
09:27:18	137771/137771	---M--	200	added ('OK')	application/javascript	etag:%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://lemonag.wixsite.com/portfolio)
09:27:18	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://lemonag.wixsite.com/portfolio)
09:27:19	104/104	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2024%20Feb%202024%2014:27:14%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/polyfill.io/v3/polyfill.mind82c.js	(from https://lemonag.wixsite.com/portfolio)
09:27:19	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2014:27:15%20GMT	https://lemonag.wixsite.com/	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/index.html	(from https://lemonag.wixsite.com/portfolio)
09:27:20	422171/422171	---MCZ	200	added ('OK')	text/html	etag:W/%220cd0763d78903aba2826a0f368ef203d%22	https://lemonag.wixsite.com/portfolio/resume	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio/resume.html	(from https://lemonag.wixsite.com/portfolio)
09:27:21	625395/625395	---MCZ	200	added ('OK')	text/html	etag:W/%22337ac014068f938c14e6b59214e078a9%22	https://lemonag.wixsite.com/portfolio/app-design	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio/app-design.html	(from https://lemonag.wixsite.com/portfolio)
09:27:23	596987/596987	---MCZ	200	added ('OK')	text/html	etag:W/%221ee043f05b5421125f3bd925a0666df1%22	https://lemonag.wixsite.com/portfolio/portfolio	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio/portfolio.html	(from https://lemonag.wixsite.com/portfolio)
09:27:24	414262/414262	---MCZ	200	added ('OK')	text/html	etag:W/%22b473e6b6fb57c4904ac96b2915df48c2%22	https://lemonag.wixsite.com/portfolio/marketing-analysis	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio/marketing-analysis.html	(from https://lemonag.wixsite.com/portfolio)
09:27:26	485290/485290	---MCZ	200	added ('OK')	text/html	etag:W/%22ae783a0c41a55a2e0305cb8e65410cc2%22	https://lemonag.wixsite.com/portfolio/adobe-skills	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/lemonag.wixsite.com/portfolio/adobe-skills.html	(from https://lemonag.wixsite.com/portfolio)
09:27:26	31385/31385	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2014:27:22%20GMT	https://static.wixstatic.com/media/c92aed_8cd0a037e1044a51add46240f4b32249~mv2.jpg/v1/crop/x_0,y_79,w_1871,h_1871/fill/w_279,h_279,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/IMG_2878.jpg	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/static.wixstatic.com/media/c92aed_8cd0a037e1044a51add46240f4b32249_mv2.jpg/v1/crop/x_0,y_79,w_1871,h_1871/fill/w_279,h_279,al_c,q_80,usm_0.66_1.00_0.01,enc_a/IMG_2878.a.delaye	(from https://lemonag.wixsite.com/portfolio)
09:27:26	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Admin/Downloads/Ainsley%20website%20feb/Ainsley%20Website/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://lemonag.wixsite.com/portfolio)
